,project,name,join date,last active,timezone,worktime,duration,followers,total commits,collaborations,authored files,languages,commit rate,code commits,code commit rate,non code commits,non code commit rate,code contribution,code contribution rate,code contribution density,total issues,issue participated,issue comments received,issue solved,issue solving ratio,issue solving rate,issue contribution,issue contribution rate,total pull requests,pr participated,pr reviewed,pr merged,pr approval ratio,pr comments received,pr contribution,pr contribution rate
35,deeplearning4j,rossmessing,2020-12-22 19:55:42,2021-01-26 15:49:18,-5,19,35,0,1,2,1,1,0.0285714285714285,1,0.0285714285714285,0,0.0,3,0.0857142857142857,3.0,1,1,5.0,0,0.0,0.0,1,0.0285714285714285,1,0,0,1,1.0,4.0,1,0.02857142857142857
36,deeplearning4j,TotoLastro,2023-06-11 17:42:16,2023-06-11 20:59:08,2,22,1,0,1,2,1,1,1.0,1,1.0,0,0.0,12,12.0,12.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,0.0,1,1.0
37,deeplearning4j,jeannekamikaze,2020-05-02 03:03:50,2020-05-06 07:59:53,0,7,5,34,1,2,1,1,0.2,1,0.2,0,0.0,10,2.0,10.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,2.0,1,0.2
38,deeplearning4j,RuiBaiXYZ,2022-07-23 13:06:33,2023-11-22 08:27:52,8,16,487,6,1,2,1,0,0.002053388090349,0,0.0,1,0.002053388090349,5,0.0102669404517453,5.0,2,0,1.5,0,0.0,0.0,2,0.0041067761806981,2,0,0,1,0.5,0.5,2,0.004106776180698152
39,deeplearning4j,clara0,2022-06-27 23:52:54,2022-06-28 02:09:20,-4,22,1,11,1,2,4,0,1.0,0,0.0,1,1.0,20,20.0,20.0,1,0,0.0,0,0.0,0.0,1,1.0,1,0,0,1,1.0,0.0,1,1.0
40,deeplearning4j,yumg,2021-04-18 03:26:58,2021-06-20 02:19:00,8,9,63,0,1,3,1,1,0.0158730158730158,1,0.0158730158730158,0,0.0,513,8.142857142857142,513.0,1,0,2.0,1,1.0,0.0158730158730158,2,0.0317460317460317,1,1,0,1,1.0,0.0,1,0.015873015873015872
41,deeplearning4j,ch1010,2019-08-09 01:30:49,2020-07-25 11:31:26,8,19,352,0,1,4,1,1,0.002840909090909,1,0.002840909090909,0,0.0,1,0.002840909090909,1.0,2,0,1.5,0,0.0,0.0,2,0.0056818181818181,1,0,0,1,1.0,0.0,1,0.002840909090909091
42,deeplearning4j,Romira915,2021-06-09 18:09:12,2021-06-10 04:17:14,9,3,1,8,1,2,2,1,1.0,1,1.0,0,0.0,13,13.0,13.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,3.0,1,1.0
43,deeplearning4j,jccampanero,2022-05-20 21:34:42,2022-05-24 04:53:34,2,6,4,7,1,3,1,0,0.25,0,0.0,1,0.25,4,1.0,4.0,0,0,0.0,0,0.0,0.0,0,0.0,2,0,0,1,0.5,0.5,2,0.5
44,deeplearning4j,mheck136,2020-03-24 13:54:03,2020-03-26 09:58:49,1,1,2,6,1,4,1,0,0.5,0,0.0,1,0.5,4,2.0,4.0,1,0,6.0,0,0.0,0.0,1,0.5,1,0,0,1,1.0,0.0,1,0.5
45,deeplearning4j,zdl010,2018-08-05 10:46:32,2019-11-18 03:05:32,8,11,470,3,1,7,1,1,0.002127659574468,1,0.002127659574468,0,0.0,38,0.0808510638297872,38.0,9,0,8.333333333333334,0,0.0,0.0,9,0.0191489361702127,2,0,0,1,0.5,1.0,2,0.00425531914893617
46,deeplearning4j,maxime-michel,2019-11-22 09:27:59,2019-12-05 10:22:37,1,4,14,3,1,2,1,0,0.0714285714285714,0,0.0,1,0.0714285714285714,4,0.2857142857142857,4.0,1,0,3.0,0,0.0,0.0,1,0.0714285714285714,1,0,0,1,1.0,0.0,1,0.07142857142857142
47,deeplearning4j,thomasleplus,2021-09-17 05:37:51,2021-09-17 15:44:11,-7,22,1,27,1,2,1,1,1.0,1,1.0,0,0.0,2,2.0,2.0,0,0,0.0,0,0.0,0.0,0,0.0,1,0,0,1,1.0,3.0,1,1.0
48,deeplearning4j,rnett,2019-01-13 00:55:06,2020-04-21 19:41:00,-7,17,465,23,1,13,14,1,0.0021505376344086,1,0.0021505376344086,0,0.0,357,0.7677419354838709,357.0,45,11,2.911111111111111,0,0.0,0.0,45,0.0967741935483871,15,1,0,11,0.7333333333333333,4.0,15,0.03225806451612903
49,deeplearning4j,j-d-o,2022-07-06 11:57:43,2022-07-08 08:30:48,2,10,2,0,1,2,1,1,0.5,1,0.5,0,0.0,2,1.0,2.0,1,0,2.0,0,0.0,0.0,1,0.5,1,0,0,1,1.0,4.0,1,0.5
50,deeplearning4j,k-tamura,2019-12-12 03:00:43,2019-12-17 03:37:07,9,12,6,41,1,4,3,0,0.1666666666666666,0,0.0,1,0.1666666666666666,26,4.333333333333333,26.0,1,0,0.0,0,0.0,0.0,1,0.1666666666666666,1,0,0,1,1.0,0.0,1,0.16666666666666666
51,deeplearning4j,cyberbeat,2021-01-02 21:18:56,2022-04-11 20:26:22,1,17,464,2,1,4,1,1,0.0021551724137931,1,0.0021551724137931,0,0.0,2,0.0043103448275862,2.0,5,3,2.0,0,0.0,0.0,5,0.0107758620689655,1,0,0,1,1.0,7.0,1,0.0021551724137931034
