Name,Join Date,First Activity,Last Active,Last Activity,Duration,Timezone,Worktime,Total Commits,Authored files,Commit Rate,Code Commits,Code Commit Rate,Other Commits,Other Commit Rate,Code Contribution,Code Contribution Rate,Code Contribution Density,Total Issues,Issue Participated,Issue Solved,Issue Contribution,Issue Contribution Rate,Issue Solving Ratio,Issue Solving Density,Total Pull Requests,PR Merged,PR Reviewed,PR Participated,PR Contribution,PR Contribution Rate,PR Approval Ratio,PR Approval Density,Followers,Collaborations,Languages,File Types
peterjsadowski,2015-10-23 00:00:00,pr comment,2015-10-30 23:15:50,Commit 203731524be5b67a7c9e746a66fa5bed873cb5f3,8,-7,16,2,2,0.25,2,0.25,0,0.0,62,7.75,31.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.125,1.0,0.125,37,1,1,py_4
deltaz0,2017-05-02 00:00:00,issue comment,2017-11-17 05:02:39,Commit f467a0102103a9ebfe0f80eded42f1ae10dc501d,200,-6,23,2,1,0.01,2,0.01,0,0.0,7,0.035,3.5,0,2,0,0,0.0,0.0,0.0,1,1,0,1,1,0.005,1.0,0.005,1,1,1,py_2
acganesh,2016-03-07 00:00:00,issue comment,2016-03-08 00:01:35,Raise PR 4192,2,-5,18,2,1,1.0,0,0.0,2,1.0,30,15.0,15.0,2,2,0,2,1.0,0.0,0.0,2,2,0,2,2,1.0,1.0,0.5,27,2,0,txt_2
tete1030,2016-04-11 10:01:53,Raise Issue 4358,2016-04-19 00:00:00,issue comment,8,8,19,2,2,0.25,2,0.25,0,0.0,16,2.0,8.0,1,1,0,1,0.125,0.0,0.0,1,1,0,1,1,0.125,1.0,0.125,21,2,1,py_3
martinarjovsky,2015-12-02 21:17:19,Commit be629ae22680a68ed17862eda11f84f713ed1c21,2015-12-17 22:11:02,Commit c0e864dd85161fbb9b9cb90a9a7bfb2c823a969f,16,-5,17,2,17,0.125,2,0.125,0,0.0,1088,68.0,544.0,0,0,0,0,0.0,0,0.0,1,0,0,1,1,0.0625,0.0,0.0,336,2,1,py_18
wazeerzulfikar,2017-01-16 00:00:00,issue comment,2017-01-23 22:19:26,Commit f21bd7d3ff069df7b124e35f7ee621a04eb5af2c,8,5,3,2,2,0.25,1,0.125,1,0.125,21,2.625,10.5,0,1,0,0,0.0,0.0,0.0,2,2,0,2,2,0.25,1.0,0.125,56,2,1,py_1 pyx_1
sibleyd,2015-09-22 16:12:51,Raise Issue 3426,2015-09-23 21:08:27,Commit bdd8dbe9fdf91bf5717d4021beeeaa1370a3a57c,2,-4,17,2,1,1.0,2,1.0,0,0.0,6,3.0,3.0,1,1,0,1,0.5,0.0,0.0,1,1,0,1,1,0.5,1.0,0.5,0,2,1,py_2
chinnadhurai,2016-03-22 22:46:41,Raise PR 4283,2017-02-10 00:00:00,pr comment,325,-5,11,2,4,0.006153846153846154,0,0.0,2,0.006153846153846154,96,0.2953846153846154,48.0,0,1,0,0,0.0,0.0,0.0,9,4,0,9,9,0.027692307692307693,0.4444444444444444,0.0013675213675213675,78,5,0,txt_5
timgasper,2016-11-09 20:34:26,Raise PR 5204,2016-11-09 20:48:27,Commit 01de10f8ec843c1dd2ec93cf34c363483aab539a,1,-6,14,2,1,2.0,0,0.0,2,2.0,9,9.0,4.5,0,0,0,0,0.0,0,0.0,2,2,0,2,2,2.0,1.0,1.0,0,1,0,txt_2
rodluger,2019-05-02 22:41:22,Raise PR 6703,2019-11-15 00:00:00,pr comment,197,-3,2,2,2,0.01015228426395939,2,0.01015228426395939,0,0.0,4,0.02030456852791878,2.0,0,0,0,0,0.0,0,0.0,2,2,0,3,2,0.01015228426395939,1.0,0.005076142131979695,192,1,1,py_2
matthias-k,2014-07-25 16:21:06,Raise Issue 1996,2016-01-21 21:02:55,Raise Issue 3910,546,1,21,2,2,0.003663003663003663,2,0.003663003663003663,0,0.0,100,0.18315018315018314,50.0,8,8,0,8,0.014652014652014652,0.0,0.0,1,1,0,1,1,0.0018315018315018315,1.0,0.0018315018315018315,39,4,1,py_2
mharradon,2016-10-18 00:00:00,pr comment,2017-02-20 00:00:00,pr comment,126,-5,18,2,1,0.015873015873015872,2,0.015873015873015872,0,0.0,8,0.06349206349206349,4.0,0,0,0,0,0.0,0,0.0,1,1,0,2,1,0.007936507936507936,1.0,0.007936507936507936,12,2,1,py_2
SinaHonari,2013-04-09 00:00:00,pr comment,2017-04-06 00:00:00,pr comment,1459,-4,11,2,7,0.0013708019191226869,1,0.0006854009595613434,1,0.0006854009595613434,159,0.10897875257025359,79.5,0,9,0,0,0.0,0.0,0.0,24,23,0,25,24,0.01644962302947224,0.9583333333333334,0.0006568425862462874,25,12,1,py_4 md_3
AndreiCostinescu,2017-04-24 05:52:05,Commit c57ea6530cdb4fc31eb93a93ea433bd5095c4cd3,2017-09-03 00:00:00,pr comment,132,2,12,2,2,0.015151515151515152,2,0.015151515151515152,0,0.0,24,0.18181818181818182,12.0,0,0,0,0,0.0,0,0.0,2,2,0,2,2,0.015151515151515152,1.0,0.007575757575757576,4,2,1,py_2
viirya,2015-12-25 09:58:58,Commit 537b24f4a93e1bb93dc4346439c39fe7a7c8565b,2016-01-08 16:09:36,Commit 6a1e661449b27882d8f7d4a0b894c6d4c2837e10,15,8,0,2,1,0.13333333333333333,2,0.13333333333333333,0,0.0,9,0.6,4.5,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.06666666666666667,1.0,0.06666666666666667,303,1,1,py_2
dfm,2018-11-16 21:08:25,Commit cb4aca304da91bf622872a2fd3be0fe7a9fdf9f6,2020-04-06 18:36:47,Raise PR 6751,507,-4,14,2,2,0.0039447731755424065,2,0.0039447731755424065,0,0.0,12,0.023668639053254437,6.0,0,0,0,0,0.0,0,0.0,2,2,0,2,2,0.0039447731755424065,1.0,0.0019723865877712033,1301,2,1,py_2
ghisvail,2017-07-21 14:26:49,Commit 8f815d9f510f183b01348272acf0d42fe00352d6,2017-07-28 14:52:16,Raise PR 6209,8,1,15,2,10,0.25,1,0.125,1,0.125,20,2.5,10.0,1,1,0,1,0.125,0.0,0.0,2,2,0,2,2,0.25,1.0,0.125,63,4,1,py_6 txt_2 yml_1 in_1
mangwang,2016-03-18 23:45:48,Commit a94cf43c75032e0108c723d4544d36f53df69e41,2016-03-21 00:00:00,pr comment,3,0,23,2,1,0.6666666666666666,2,0.6666666666666666,0,0.0,8,2.6666666666666665,4.0,0,0,0,0,0.0,0,0.0,1,1,0,1,1,0.3333333333333333,1.0,0.3333333333333333,13,2,1,py_2
fo40225,2017-04-06 19:38:48,Commit da147c3c5adea8c39abc77576e93db48d628eec5,2017-04-07 09:10:45,Raise PR 5821,1,8,17,2,8,2.0,2,2.0,0,0.0,97,97.0,48.5,0,0,0,0,0.0,0,0.0,2,2,0,2,2,2.0,1.0,1.0,173,4,2,c_7 py_1
